start_station_name,member_casual,total_rides,avg_latitude,avg_longitude
Streeter Dr & Grand Ave,casual,50538,41.8922803901829,-87.6120476528644
DuSable Lake Shore Dr & Monroe St,casual,33383,41.880962275858,-87.6167463702495
Kingsbury St & Kinzie St,member,30353,41.8891849759461,-87.638513779036
Clinton St & Washington Blvd,member,24959,41.8834066152598,-87.6411809684611
Michigan Ave & Oak St,casual,24881,41.9009698240473,-87.6237809370551
Clark St & Elm St,member,22705,41.9030089348167,-87.6314867048079
Clinton St & Madison St,member,22482,41.8827296570512,-87.6411978038146
DuSable Lake Shore Dr & North Blvd,casual,22244,41.9117224908808,-87.6268040832159
Millennium Park,casual,21972,41.881034350378,-87.6240866654381
Shedd Aquarium,casual,20534,41.8672306829233,-87.6153633665659
Canal St & Madison St,member,20524,41.8824054370948,-87.6397468637553
Clinton St & Jackson Blvd,member,19164,41.8783245343021,-87.6409923482508
Dusable Harbor,casual,18183,41.8869757954161,-87.6128133876246
State St & Chicago Ave,member,18173,41.8966150127427,-87.6285967525933
Wells St & Elm St,member,17836,41.9032098517435,-87.6343516784557
Wells St & Concord Ln,member,17727,41.9121302677709,-87.6346658081579
Theater on the Lake,casual,16594,41.9262774000847,-87.6308407514806
Dearborn St & Erie St,member,16554,41.8940145959597,-87.6293370852716
University Ave & 57th St,member,16113,41.7914775720237,-87.5998625285938
Canal St & Adams St,member,16067,41.8792613419173,-87.6399084447402
DuSable Lake Shore Dr & North Blvd,member,15906,41.9117243734162,-87.6268043443128
Larrabee St & Kingsbury St,member,15768,41.8977565864777,-87.6428929485484
Wells St & Huron St,member,15383,41.894741237812,-87.6343778200254
Daley Center Plaza,member,15278,41.8842360669802,-87.6296303780139
Desplaines St & Kinzie St,member,14988,41.888713260927,-87.6444410941877
